GC-Content Regions with Overlap (start, stop, GC):
23401, 24400, 28.9
23501, 24500, 28.2
23601, 24600, 28.9
23701, 24700, 27.1
23801, 24800, 27.5
23901, 24900, 28.2
24001, 25000, 30.7
24101, 25100, 32.5
24201, 25200, 35.4
24301, 25300, 35.6
24401, 25400, 36.1
24501, 25500, 36.1
24601, 25600, 36.1
24701, 25700, 37.9
24801, 25800, 38.5
24901, 25900, 38.4
25001, 26000, 38.3
25101, 26100, 37.9
25201, 26200, 36.4
25301, 26300, 36.3
25401, 26400, 37.0
25501, 26500, 37.1
25601, 26600, 36.0
25701, 26700, 34.3
25801, 26800, 33.6
25901, 26900, 34.2
26001, 27000, 33.8
26101, 27100, 32.7
26201, 27200, 32.0
26301, 27300, 31.8
26401, 27400, 31.7
26501, 27500, 32.2
26601, 27600, 32.8
26701, 27700, 33.7
26801, 27800, 35.0
26901, 27900, 35.4
27001, 28000, 35.0
27101, 28100, 36.0
27201, 28200, 36.8
27301, 28300, 37.8
27401, 28400, 37.0
27501, 28500, 36.8
27601, 28600, 37.1
27701, 28700, 37.9
27801, 28800, 36.5
27901, 28900, 35.2
28001, 29000, 35.3
28101, 29100, 36.6
28201, 29200, 36.4
28301, 29300, 35.6
28401, 29400, 35.4
28501, 29500, 34.8
28601, 29600, 33.9
28701, 29700, 33.8
28801, 29800, 33.4
28901, 29900, 32.8
29001, 30000, 32.3
29101, 30100, 30.0
29201, 30200, 28.2
29301, 30300, 27.7
29401, 30400, 27.8
29501, 30500, 28.3
29601, 30600, 29.5
29701, 30700, 27.2
29801, 30800, 28.1
29901, 30900, 28.5
30001, 31000, 28.8
30101, 31100, 30.0
30201, 31200, 32.0
30301, 31300, 33.0
30401, 31400, 32.8
30501, 31500, 33.9
30601, 31600, 32.7
30701, 31700, 35.6
30801, 31800, 35.0
30901, 31900, 34.5
31001, 32000, 35.2
31101, 32100, 35.6
31201, 32200, 36.0
31301, 32300, 37.2
31401, 32400, 39.4
31501, 32500, 39.0
31601, 32600, 41.2
31701, 32700, 40.3
31801, 32800, 39.7
31901, 32900, 40.7
32001, 33000, 41.1
32101, 33100, 41.7
32201, 33200, 42.5
32301, 33300, 43.0
32401, 33400, 39.0
32501, 33500, 34.9
32601, 33600, 29.9
32701, 33700, 26.6
32801, 33800, 27.2
32901, 33900, 27.6
33001, 34000, 27.7
33101, 34100, 27.8
33201, 34200, 27.1
33301, 34300, 25.4
33401, 34400, 28.7
33501, 34500, 34.0
33601, 34600, 38.6
33701, 34700, 42.8
33801, 34800, 44.5
33901, 34900, 46.1
34001, 35000, 47.1
34101, 35100, 47.5
34201, 35200, 48.3
34301, 35300, 49.5
34401, 35400, 48.5
34501, 35500, 47.4
34601, 35600, 47.3
34701, 35700, 45.6
34801, 35800, 45.2
34901, 35900, 43.4
35001, 36000, 42.4
35101, 36100, 41.5
35201, 36200, 40.8
35301, 36300, 38.7
35401, 36400, 38.1
35501, 36500, 36.8
35601, 36600, 35.2
35701, 36700, 35.8
35801, 36800, 34.1
35901, 36900, 33.2
36001, 37000, 31.0
36101, 37100, 29.7
36201, 37200, 28.8
36301, 37300, 29.5
36401, 37400, 30.6
36501, 37500, 32.2
36601, 37600, 33.1
36701, 37700, 32.4
36801, 37800, 31.7
36901, 37900, 30.5
37001, 38000, 31.0
37101, 38100, 31.3
37201, 38200, 30.8
37301, 38300, 30.2
37401, 38400, 29.1
37501, 38500, 28.8
37601, 38600, 28.2
37701, 38700, 26.9
37801, 38800, 27.7
37901, 38900, 28.9
38001, 39000, 30.3
38101, 39100, 28.3
38201, 39200, 28.4
38301, 39300, 28.8
38401, 39400, 29.6
38501, 39500, 28.2
38601, 39600, 27.9
38701, 39700, 30.2
38801, 39800, 30.9
38901, 39900, 32.6
39001, 40000, 31.9
39101, 40100, 33.8
39201, 40200, 33.2
39301, 40300, 32.7
39401, 40400, 33.8
39501, 40500, 33.9
39601, 40600, 34.2
39701, 40700, 32.6
39801, 40800, 31.5
39901, 40900, 30.4
40001, 41000, 29.8
40101, 41100, 29.5
40201, 41200, 28.9
40301, 41300, 28.2
40401, 41400, 26.7
40501, 41500, 27.1
40601, 41600, 28.0
40701, 41700, 29.8
40801, 41800, 31.2
40901, 41900, 30.9
41001, 42000, 32.1
41101, 42100, 32.7
41201, 42200, 35.4
41301, 42300, 37.2
41401, 42400, 36.4
41501, 42500, 35.9
41601, 42600, 35.6
41701, 42700, 34.6
41801, 42800, 33.3
41901, 42900, 34.5
42001, 43000, 34.3
42101, 43100, 34.3
42201, 43200, 33.3
42301, 43300, 33.9
42401, 43400, 35.0
42501, 43500, 35.0
42601, 43600, 34.0
42701, 43700, 34.4
42801, 43800, 34.7
42901, 43900, 33.8
43001, 44000, 34.1
43101, 44100, 34.5
43201, 44200, 33.9
43301, 44300, 32.5
43401, 44400, 31.6
43501, 44500, 32.0
43601, 44600, 33.3
43701, 44700, 32.1
43801, 44800, 32.3
43901, 44900, 31.8
44001, 45000, 30.9
44101, 45100, 29.8
44201, 45200, 30.8
44301, 45300, 31.7
44401, 45400, 34.1
44501, 45500, 35.0
44601, 45600, 34.4
44701, 45700, 36.0
44801, 45800, 36.3
44901, 45900, 36.7
45001, 46000, 38.4
45101, 46100, 38.3
45201, 46200, 38.0
45301, 46300, 37.6
45401, 46400, 36.5
45501, 46500, 36.1
45601, 46600, 35.4
45701, 46700, 34.5
45801, 46800, 34.4
45901, 46900, 33.8
46001, 47000, 31.7
46101, 47100, 31.8
46201, 47200, 30.1
46301, 47300, 29.0
46401, 47400, 27.3
46501, 47500, 26.2
46601, 47600, 26.8
46701, 47700, 27.4
46801, 47800, 27.0
46901, 47900, 26.9
47001, 48000, 26.5
47101, 48100, 27.3
47201, 48200, 28.5
47301, 48300, 28.3
47401, 48400, 29.1
47501, 48500, 29.3
47601, 48600, 28.8
47701, 48700, 27.2
47801, 48800, 26.7
47901, 48900, 27.5
48001, 49000, 27.4
48101, 49100, 27.2
48201, 49200, 27.1
48301, 49300, 27.2
48401, 49400, 27.4
48501, 49500, 26.7
48601, 49600, 26.6
48701, 49700, 27.2
48801, 49800, 28.4
48901, 49900, 29.1
49001, 50000, 31.0
49101, 50100, 29.3
49201, 50200, 28.9
49301, 50300, 29.0
49401, 50400, 27.8
49501, 50500, 28.5
49601, 50600, 28.6
49701, 50700, 29.4
49801, 50800, 28.2
49901, 50900, 27.9
50001, 51000, 26.5
50101, 51100, 27.8
50201, 51200, 27.3
50301, 51300, 27.0
50401, 51400, 27.2
50501, 51500, 28.2
50601, 51600, 29.0
50701, 51700, 27.9
50801, 51800, 28.1
50901, 51900, 28.2
51001, 52000, 28.3
51101, 52100, 28.7
51201, 52200, 30.8
51301, 52300, 33.4
51401, 52400, 34.8
51501, 52500, 34.2
51601, 52600, 33.2
51701, 52700, 34.3
51801, 52800, 33.5
51901, 52900, 32.9
52001, 53000, 33.1
52101, 53100, 33.7
52201, 53200, 33.7
52301, 53300, 33.5
52401, 53400, 33.7
52501, 53500, 32.1
52601, 53600, 31.5
52701, 53700, 30.8
52801, 53800, 31.8
52901, 53900, 30.8
53001, 54000, 30.6
53101, 54100, 29.6
53201, 54200, 28.6
53301, 54300, 26.3
53401, 54400, 26.2
53501, 54500, 27.6
53601, 54600, 29.3
53701, 54700, 31.1
53801, 54800, 32.2
53901, 54900, 32.6
54001, 55000, 32.2
54101, 55100, 32.1
54201, 55200, 31.2
54301, 55300, 31.7
54401, 55400, 31.5
54501, 55500, 30.6
54601, 55600, 29.7
54701, 55700, 28.1
54801, 55800, 26.4
54901, 55900, 25.9
55001, 56000, 26.2
55101, 56100, 26.2
55201, 56200, 27.5
55301, 56300, 27.5
55401, 56400, 26.7
55501, 56500, 26.8
55601, 56600, 27.1
55701, 56700, 27.3
55801, 56800, 27.4
55901, 56900, 27.8
56001, 57000, 28.4
56101, 57000, 28.3
56201, 57000, 27.5
56301, 57000, 27.6
56401, 57000, 27.8
56501, 57000, 29.0
56601, 57000, 28.2
56701, 57000, 27.3
56801, 57000, 29.5
56901, 57000, 33.0
